x,t,h
-7.171717171717171269e-01,2.999999999999999889e-02,5.492822527885437012e-01
-6.969696969696970168e-01,2.999999999999999889e-02,5.042600035667419434e-01
-6.767676767676766847e-01,2.999999999999999889e-02,4.535427391529083252e-01
-6.565656565656565746e-01,2.999999999999999889e-02,3.984416723251342773e-01
-6.363636363636363535e-01,2.999999999999999889e-02,3.408591747283935547e-01
-6.161616161616161325e-01,2.999999999999999889e-02,2.829021513462066650e-01
-5.959595959595959114e-01,2.999999999999999889e-02,2.261631935834884644e-01
-5.757575757575756903e-01,2.999999999999999889e-02,1.714922040700912476e-01
-5.555555555555555802e-01,2.999999999999999889e-02,1.195778176188468933e-01
-5.353535353535352481e-01,2.999999999999999889e-02,7.146351784467697144e-02
-5.151515151515151381e-01,2.999999999999999889e-02,2.832632325589656830e-02
-4.949494949494949170e-01,2.999999999999999889e-02,-9.001621976494789124e-03
-4.747474747474746959e-01,2.999999999999999889e-02,-4.020953923463821411e-02
-4.545454545454544748e-01,2.999999999999999889e-02,-6.538254767656326294e-02
-4.343434343434342537e-01,2.999999999999999889e-02,-8.480203896760940552e-02
-4.141414141414141437e-01,2.999999999999999889e-02,-9.880948811769485474e-02
-3.939393939393939226e-01,2.999999999999999889e-02,-1.077611520886421204e-01
-3.737373737373737015e-01,2.999999999999999889e-02,-1.120460107922554016e-01
-3.535353535353534804e-01,2.999999999999999889e-02,-1.121220067143440247e-01
-3.333333333333332593e-01,2.999999999999999889e-02,-1.085424497723579407e-01
-3.131313131313130382e-01,2.999999999999999889e-02,-1.019558385014533997e-01
-2.929292929292928171e-01,2.999999999999999889e-02,-9.308094531297683716e-02
-2.727272727272727071e-01,2.999999999999999889e-02,-8.265960961580276489e-02
-2.525252525252524860e-01,2.999999999999999889e-02,-7.140523940324783325e-02
-2.323232323232322649e-01,2.999999999999999889e-02,-5.995679646730422974e-02
-2.121212121212120438e-01,2.999999999999999889e-02,-4.885054379701614380e-02
-1.919191919191918227e-01,2.999999999999999889e-02,-3.850508481264114380e-02
-1.717171717171716017e-01,2.999999999999999889e-02,-2.922351099550724030e-02
-1.515151515151514916e-01,2.999999999999999889e-02,-2.120245434343814850e-02
-1.313131313131312705e-01,2.999999999999999889e-02,-1.454133726656436920e-02
-1.111111111111110494e-01,2.999999999999999889e-02,-9.256789460778236389e-03
-9.090909090909082835e-02,2.999999999999999889e-02,-5.293318536132574081e-03
-7.070707070707060726e-02,2.999999999999999889e-02,-2.535948064178228378e-03
-5.050505050505038618e-02,2.999999999999999889e-02,-8.182018646039068699e-04
-3.030303030303027612e-02,2.999999999999999889e-02,6.972852861508727074e-05
-1.010101010101005503e-02,2.999999999999999889e-02,3.779441467486321926e-04
1.010101010101016605e-02,2.999999999999999889e-02,3.959447494708001614e-04
3.030303030303049816e-02,2.999999999999999889e-02,4.545361152850091457e-04
5.050505050505060822e-02,2.999999999999999889e-02,9.198695770464837551e-04
7.070707070707071829e-02,2.999999999999999889e-02,2.182892058044672012e-03
9.090909090909105039e-02,2.999999999999999889e-02,4.621794912964105606e-03
1.111111111111111605e-01,2.999999999999999889e-02,8.546700701117515564e-03
1.313131313131314926e-01,2.999999999999999889e-02,1.411800645291805267e-02
1.515151515151516026e-01,2.999999999999999889e-02,2.128081582486629486e-02
1.717171717171717127e-01,2.999999999999999889e-02,2.978246472775936127e-02
1.919191919191920448e-01,2.999999999999999889e-02,3.929626196622848511e-02
2.121212121212121549e-01,2.999999999999999889e-02,4.958038777112960815e-02
2.323232323232324870e-01,2.999999999999999889e-02,6.048148125410079956e-02
2.525252525252525970e-01,2.999999999999999889e-02,7.174693793058395386e-02
2.727272727272729291e-01,2.999999999999999889e-02,8.287983387708663940e-02
2.929292929292930392e-01,2.999999999999999889e-02,9.321217983961105347e-02
3.131313131313131493e-01,2.999999999999999889e-02,1.020476147532463074e-01
3.333333333333334814e-01,2.999999999999999889e-02,1.086763665080070496e-01
3.535353535353535914e-01,2.999999999999999889e-02,1.123377606272697449e-01
3.737373737373739235e-01,2.999999999999999889e-02,1.122829243540763855e-01
3.939393939393940336e-01,2.999999999999999889e-02,1.078895851969718933e-01
4.141414141414143657e-01,2.999999999999999889e-02,9.870844334363937378e-02
4.343434343434344758e-01,2.999999999999999889e-02,8.440249413251876831e-02
4.545454545454545858e-01,2.999999999999999889e-02,6.467699259519577026e-02
4.747474747474749179e-01,2.999999999999999889e-02,3.926157206296920776e-02
4.949494949494950280e-01,2.999999999999999889e-02,7.963946089148521423e-03
5.151515151515153601e-01,2.999999999999999889e-02,-2.924210764467716217e-02
5.353535353535354702e-01,2.999999999999999889e-02,-7.213056832551956177e-02
